Site,AIRPRESSURE,AIRTEMP,Acidity_CACO3,Algae_Cells,Alkalinity,Azinphos_methyl,Bicarbonate,Blue_Green_Algae_Total_cells,COND,CONDB,CONDS,Calcium_Hardness,Carbon_Dioxide,Carbonate,Carbonate_hardness,Chlordane_a,Chlordane_g,Chloride,Chlorides_Total,Chlorophyll_b,Chlorothalonil,Chlorpyrifos,Chlorthal_Dimethyl,Conductivity,DDD,DDE,DDT,Diazinon,Dieldrin,Dissolved_solids,FLOW,Fixed_solids,Fluoride,H,Hydroxide,Iron_Total,Mercury_Total,Methoxychlor,ON,OP,RELHUM,SAL,SALB,SALS,SOLRAD,Sulphate,TEMP,TEMPB,TEMPS,Total_Hardness,Velocity,WIND_DIR,WIND_SPEED,WQ_CAR_DIC,WQ_CAR_PH,WQ_DIAG_PHY_TCHLA,WQ_DIAG_TOT_TAL,WQ_DIAG_TOT_TDS,WQ_DIAG_TOT_TFE,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TURBIDITY,WQ_GEO_AL,WQ_GEO_CA,WQ_GEO_CALCITE,WQ_GEO_CL,WQ_GEO_FEII,WQ_GEO_K,WQ_GEO_MG,WQ_GEO_MN,WQ_GEO_NA,WQ_GEO_SO4,WQ_NCS_SS1,WQ_NIT_AMM,WQ_NIT_NIT,WQ_OGM_DOC,WQ_OGM_DON,WQ_OGM_DOP,WQ_OGM_POC,WQ_OGM_PON,WQ_OGM_POP,WQ_OXY_OXY,WQ_OXY_OXY_SAT,WQ_PHS_FRP,WQ_PHS_FRP_ADS,WQ_PHY_BGA,WQ_PHY_GRN,WQ_SIL_RSI,WQ_TRC_SS1,fDOM,pH,
EPA2014_Coorong_sub_lagoon_12_Sth_of_Salt_Creek, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , ,x,x, , , , , ,x,x,x, ,x,x, , ,x,x, ,x,x, ,x,x,x, , ,
EPA2014_Coorong_sub_lagoon_2_Mark_Point, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , , ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
EPA2014_Coorong_sub_lagoon_3_Long_Point, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x, , ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x, , ,x,x,x,x, , , ,x, , , , , ,x,x, , , , , , , , , , , , ,x, ,x, , ,
EPA2014_Coorong_sub_lagoon_4_Noonameena, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , , ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
EPA2014_Coorong_sub_lagoon_5_Bonneys, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x, , ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x, , ,x,x,x,x, , , ,x, , , , , ,x,x, , , , , , , , , , , , ,x, ,x, , ,
EPA2014_Coorong_sub_lagoon_6_McGrath_Flat_North, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x, , , ,x,x, ,x,x,x, , , ,x, , , , , , ,x,x,x, ,x,x, , ,x,x, ,x,x, ,x,x,x, , ,
EPA2014_Coorong_sub_lagoon_7_Parnka_Point, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , ,x,x, , , , , ,x,x,x, ,x,x, , ,x,x, ,x,x, ,x,x,x, , ,
EPA2014_Coorong_sub_lagoon_9_Stoney_Well, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x, , , ,x,x, ,x,x,x, , , ,x, , , , , , ,x,x,x, ,x,x, , ,x,x, ,x,x, ,x,x,x, , ,
EPA2014_Currency_Ck_CC_292, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x, , ,x, , , , , , , , , , , ,x,x, ,x, ,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , , , , , , , , , , , ,
EPA2014_Currency_Ck_CC_DS5, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x, , ,x, , , , , , , , , , , ,x,x, ,x, ,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , , , , , , , , , , , ,
EPA2014_Currency_Ck_CC_DS6, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , ,x,x, ,x, ,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , , , , , , , , , , , ,
EPA2014_Currency_Ck_Bore_LCC_P2, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , ,x,x, ,x,x,x, ,x,x,x, , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Currency_Ck_CCGC, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x, , ,x, , , , , , , , , , , ,x,x, ,x, ,x,x,x, ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x, , , , , , , , , , , , , , ,x, , ,
EPA2014_Currency_Creek_CCUS1, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x, ,x,x, , ,x,x, ,x,x, ,x,x,x, , ,
EPA2014_Currency_Creek_Currency_1, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x, ,x,x, ,x,x,x, , ,
EPA2014_Currency_Creek_Currency_2, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, ,x,x, ,x, ,x,x,x,x,x,x,x,x,x,x, , , ,x, , ,x, , ,x, , , , , , , , , ,
EPA2014_Currency_Creek_Currency_3, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x, ,x,x, ,x, ,x, , ,
EPA2014_Currency_Creek_Regulator, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x, ,x,x, , ,x,x, ,x,x, ,x,x,x, , ,
EPA2014_Currency_Creek_US_of_Narrows, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x, ,x,x, , ,x,x, ,x,x, ,x,x,x, , ,
EPA2014_Dunns_Lagoon_DL_Jetty, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Dunns_Lagoon_DL1_Kayak, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Dunns_Lagoon_DL10_Kayak, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Dunns_Lagoon_DL2_Kayak, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Dunns_Lagoon_DL3_Kayak, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Dunns_Lagoon_DL4_Kayak, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Dunns_Lagoon_DL5_Kayak, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Dunns_Lagoon_DL6_Kayak, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , ,x, , , , , , , , , ,
EPA2014_Dunns_Lagoon_DL7_Kayak, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Dunns_Lagoon_DL8_Kayak, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Dunns_Lagoon_DL9_Kayak, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Dunns_Lagoon_DLT10, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Dunns_Lagoon_DLT3, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , , , ,x,x, , ,
EPA2014_Dunns_Lagoon_DLT7, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Finniss_River_FR_DS1, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x, , ,x, , , , , , , , , , , ,x,x, ,x, ,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , , , , , , , , , , , ,
EPA2014_Finniss_River_DS_of_WL, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x, ,x,x, , ,x,x, ,x,x, ,x,x,x, , ,
EPA2014_Finniss_River_FRGC, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x, ,x,x, , ,x,x, ,x,x, ,x,x,x, , ,
EPA2014_Finniss_River_Finniss_1, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x, ,x,x, ,x,x,x, , ,
EPA2014_Finniss_River_Finniss_2, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x, ,x,x, ,x,x,x, , ,
EPA2014_Finniss_River_Finniss_3, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x, ,x,x, ,x, ,x, , ,
EPA2014_Finniss_River_US1, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x, ,x,x, , ,x,x, ,x,x, ,x,x,x, , ,
EPA2014_Finniss_River_Wallys_Landing_FR_WL, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , ,x, , , , , , , , , ,
EPA2014_Hindmarsh_Island_Boggy_Creek_1, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , , , ,x,x, , ,
EPA2014_Hindmarsh_Island_Boggy_Creek_2, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Hindmarsh_Island_Boggy_Creek_3, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Hindmarsh_Island_Boggy_Creek_4, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , , , ,x,x, , ,
EPA2014_Hindmarsh_Island_Boggy_Creek_5, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , , , ,x,x, , ,
EPA2014_Hindmarsh_Island_Boggy_Creek_6, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , , , ,x,x, , ,
EPA2014_Hindmarsh_Island_Boggy_Creek_7, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , , , ,x,x, , ,
EPA2014_Hindmarsh_Island_Estick_Creek_2, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Hindmarsh_Island_Estick_Creek_3, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Hindmarsh_Island_Estick_Creek_5, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Hindmarsh_Island_Hunters_Creek_1, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , , , ,x,x, , ,
EPA2014_Hindmarsh_Island_Hunters_Creek_2, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , , , ,x,x, , ,
EPA2014_Hindmarsh_Island_Hunters_Creek_3, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , , , ,x,x, , ,
EPA2014_Hindmarsh_Island_Hunters_Creek_4, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Hindmarsh_Island_Hunters_Creek_5, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , , , ,x,x, , ,
EPA2014_Hindmarsh_Island_Hunters_Creek_6, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , , , ,x,x, , ,
EPA2014_Hindmarsh_Island_Mundoo_Channel_2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, ,x, , , , , , ,x,x, ,x,x,x, ,x,x,x, , , , , , , , , , , , , , , , , , , ,
EPA2014_LMRIA_Plume_Burdett, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , ,x, , ,x, , , , , , , , ,x,x, , ,
EPA2014_LMRIA_Plume_Jervois, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x, ,x, , , , , , , , , , , , , , , ,x, , ,
EPA2014_LMRIA_Plume_Jervois_Wellington, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , , ,x,x, , ,x,x, , ,
EPA2014_LMRIA_Plume_Jervois_Woods_Point, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , , ,x,x, , ,x,x, , ,
EPA2014_LMRIA_Plume_Jervois_Monteith, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , , ,x, , , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , , , , , , , , ,x, , ,
EPA2014_LMRIA_Plume_Long_Flat, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , , ,x,x, , ,x,x, , ,
EPA2014_LMRIA_Plume_Mobilong, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , , ,x,x, , ,x,x, , ,
EPA2014_LMRIA_Plume_Monteith, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , , ,x,x, , ,x,x, , ,
EPA2014_LMRIA_Plume_Riverglen, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , , ,x,x, , ,x,x, , ,
EPA2014_LMRIA_Plume_Toora, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , , ,x,x, , ,x,x, , ,
EPA2014_LMRIA_Plume_Westbrook_Park, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , , ,x,x, , ,x,x, , ,
EPA2014_LMRIA_Plume_Woods_Point, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , , ,x,x, , ,x,x, , ,
EPA2014_Lake_Albert_Bascombe_Bay_1, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Lake_Albert_Bascombe_Bay_2, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Lake_Albert_Bascombe_Bay_3, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Lake_Albert_Bascombe_Bay_4, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Lake_Albert_Bascombe_Bay_5, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Lake_Albert_Bascombe_Bay_6, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Lake_Albert_Bascombe_Bay_7, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Lake_Albert_Bascombe_Bay_8, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Lake_Albert_Campbell_Park, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , ,x,x, ,x, , , , ,x, , , , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x, ,x,x, , ,x,x, ,x,x, ,x,x,x, , ,
EPA2014_Lake_Albert_Granite_2, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Lake_Albert_Juron_Swamp_1, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, ,x, ,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , , , ,x,x, , ,
EPA2014_Lake_Albert_Juron_Swamp_2, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Lake_Albert_Juron_Swamp_3, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Lake_Albert_Juron_Swamp_4, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Lake_Albert_Narrows_1, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , , ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , ,
EPA2014_Lake_Albert_Narrows_10, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , , , ,x, , ,
EPA2014_Lake_Albert_Narrows_11, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , , , ,x, , ,
EPA2014_Lake_Albert_Narrows_12, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , , , ,x, , ,
EPA2014_Lake_Albert_Narrows_13, , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , , ,x, , , , ,x, , , , , , ,x,x, , , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , , , ,x, , ,
