X,Y,distance_from_Goolwa
341732.516,6041409.145,50800
341760.076,6041367.427,50850
341787.068,6041325.338,50900
341813.485,6041282.888,50950
341839.325,6041240.082,51000
341864.581,6041196.93,51050
341889.249,6041153.439,51100
341913.324,6041109.618,51150
341936.803,6041065.473,51200
341959.68,6041021.015,51250
341981.952,6040976.249,51300
342003.614,6040931.186,51350
342024.662,6040885.833,51400
342045.094,6040840.198,51450
342064.904,6040794.29,51500
342084.089,6040748.118,51550
342110.543,6040705.898,51600
342139.88,6040665.411,51650
342170.405,6040625.813,51700
342202.092,6040587.138,51750
342234.912,6040549.42,51800
342268.837,6040512.692,51850
342303.837,6040476.988,51900
342339.881,6040442.337,51950
342376.937,6040408.772,52000
342414.973,6040376.321,52050
342453.955,6040345.012,52100
342493.849,6040314.875,52150
342534.62,6040285.934,52200
342576.232,6040258.216,52250
342618.647,6040231.745,52300
342661.83,6040206.544,52350
342705.741,6040182.635,52400
342750.343,6040160.04,52450
342795.595,6040138.779,52500
342841.458,6040118.869,52550
342887.845,6040100.21,52600
342933.389,6040079.603,52650
342977.354,6040055.812,52700
343019.518,6040028.957,52750
343059.668,6039999.176,52800
343097.6,6039966.617,52850
343133.123,6039931.445,52900
343166.058,6039893.839,52950
343196.238,6039853.987,53000
343223.511,6039812.093,53050
343247.738,6039768.367,53100
343268.798,6039723.03,53150
343286.584,6039676.311,53200
343301.005,6039628.447,53250
343311.99,6039579.68,53300
343319.483,6039530.255,53350
343323.79,6039480.451,53400
343331.332,6039431.031,53450
343341.906,6039382.17,53500
343355.472,6039334.054,53550
343371.978,6039286.866,53600
343391.362,6039240.785,53650
343413.55,6039195.986,53700
343438.458,6039152.641,53750
343465.99,6039110.913,53800
343496.042,6039070.962,53850
343528.5,6039032.94,53900
343563.24,6038996.991,53950
343600.13,6038963.252,54000
343639.03,6038931.851,54050
343679.791,6038902.908,54100
343722.26,6038876.533,54150
343766.273,6038852.826,54200
343811.665,6038831.878,54250
343858.261,6038813.767,54300
