Site,X,Y,Num. Vars,Start Date,End Date,Total Samples at Site,Conductivity,ON,OP,SAL,TEMP,WQ_CAR_DIC,WQ_CAR_PH,WQ_DIAG_PHY_TCHLA,WQ_DIAG_TOT_TAL,WQ_DIAG_TOT_TFE,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TURBIDITY,WQ_GEO_AL,WQ_GEO_CA,WQ_GEO_CALCITE,WQ_GEO_CL,WQ_GEO_FEII,WQ_GEO_K,WQ_GEO_MG,WQ_GEO_MN,WQ_GEO_NA,WQ_GEO_SO4,WQ_NCS_SS1,WQ_NIT_AMM,WQ_NIT_NIT,WQ_OGM_DOC,WQ_OGM_DON,WQ_OGM_DOP,WQ_OGM_POC,WQ_OGM_PON,WQ_OGM_POP,WQ_OXY_OXY,WQ_PHS_FRP,WQ_PHS_FRP_ADS,WQ_PHY_GRN,WQ_SIL_RSI,WQ_TRC_SS1,pH
EPA2014_Lake_Alexandrina_Boggy_Lake_32,338173,6090142,6,4/06/2010,6/03/2012,34,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_33,333481,6089774,21,4/06/2010,31/05/2011,738,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_34,339418,6089220,21,4/06/2010,8/07/2010,88,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_35,338892,6089733,6,9/06/2010,9/06/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_36,337095,6090400,6,9/06/2010,16/06/2010,22,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_37,335575,6090421,6,9/06/2010,9/06/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_38,336788,6089597,21,22/07/2010,20/01/2011,110,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_39,337190,6089609,21,22/07/2010,31/05/2011,532,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_4,335834,6089932,6,12/04/2010,27/03/2013,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_40,333218,6089392,6,22/07/2010,31/05/2011,186,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_41,333880,6090247,21,3/08/2010,31/05/2011,182,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_42,332699,6089207,21,22/09/2010,20/01/2011,78,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_43,333560,6089423,6,22/09/2010,20/01/2011,36,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_44,332548,6089098,21,20/10/2010,25/11/2010,104,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_5,335649,6089630,5,12/04/2010,12/04/2010,10,x, , ,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_6,335597,6089468,12,12/04/2010,21/04/2010,34,x, , ,x,x,x,x, ,x,x, , , , , , ,x, , ,x,x, , , , ,x, , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_7,336425,6090148,21,12/04/2010,20/01/2011,186,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_8,336492,6090909,21,12/04/2010,6/03/2012,546,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_9,335891,6090954,5,12/04/2010,12/04/2010,10,x, , ,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Dog_Lake_10,330866,6085377,21,22/07/2010,3/08/2010,84,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Dog_Lake_11,333461,6084613,6,22/07/2010,3/08/2010,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Dog_Lake_1b,332164,6086755,5,7/05/2010,7/05/2010,10,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
EPA2014_Lake_Alexandrina_Dog_Lake_2,332964,6086974,6,12/04/2010,12/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Dog_Lake_3,333613,6087195,6,12/04/2010,12/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Dog_Lake_4,333754,6087341,6,12/04/2010,12/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Dog_Lake_5,333928,6085228,6,12/04/2010,12/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Dog_Lake_6,334326,6087976,6,12/04/2010,12/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Dog_Lake_7,331500,6086323,21,8/07/2010,13/10/2010,106,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Dog_Lake_8,331855,6086742,6,8/07/2010,3/08/2010,36,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Dog_Lake_9,333974,6084731,6,8/07/2010,13/10/2010,48,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Eckerts_Road,351411,6077054,21,12/07/2010,6/02/2013,220,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_McHughes_Bay_1,351511,6087523,21,12/07/2010,12/07/2010,42,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_McHughes_Bay_2,352082,6087512,6,12/07/2010,12/07/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_McHughes_Bay_3,352294,6087642,6,12/07/2010,12/07/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_McHughes_Bay_4,352991,6087419,6,12/07/2010,12/07/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Point_Sturt_1,315331,6073293,6,14/05/2010,14/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Point_Sturt_2,316280,6074075,6,14/05/2010,14/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Point_Sturt_3,317131,6074513,6,14/05/2010,14/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Point_Sturt_4,317360,6074921,6,14/05/2010,14/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Point_Sturt_5,317138,6075127,6,14/05/2010,14/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Point_Sturt_6,316419,6074916,6,14/05/2010,14/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Point_Sturt_7,316144,6074735,6,14/05/2010,14/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Point_Sturt_8,315695,6074895,6,14/05/2010,14/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Mulgundawa_Recorder,340441,6087014,19,14/05/2008,14/05/2008,38,x, , ,x, ,x,x, , ,x,x,x, ,x,x,x, ,x, ,x, ,x,x, ,x,x,x, , , , , , , , , , , , ,x,x, 
EPA2014_Lake_Alexandrina_Beacon_97,331095,6071418,25,28/03/2008,10/11/2009,786,x, , ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x, ,x,x, ,x,x,x, , , , , , , , ,x, , ,x,x,x, 
EPA2014_Lake_Alexandrina_Clayton_east_of_regulator,311714,6069474,40,4/08/2008,15/11/2011,7190,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, 
EPA2014_Lake_Alexandrina_Clayton_west_of_regulator,311377,6069720,28,29/07/2009,19/12/2009,518,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x, , ,x, ,x,x,x, ,x, , ,x, , ,x, , ,x, ,x, 
EPA2014_Lake_Alexandrina_Ewe_Island_Barrage_site_1,316529,6062708,19,2/06/2009,24/06/2009,114,x, , ,x, ,x,x, ,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , , , , , , , , 
EPA2014_Lake_Alexandrina_Ewe_Island_Barrage_site_3,316350,6062862,19,24/06/2009,24/06/2009,38,x, , ,x, ,x,x, ,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , , , , , , , , 
EPA2014_Lake_Alexandrina_Goolwa_Barrage_Downstream,301200,6065900,11,11/09/2008,19/12/2009,332,x, , ,x,x,x,x, , , , , , , ,x,x, , , , , , , , , ,x,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Lake_Alexandrina_Goolwa_Barrage_Upstream,301314,6066341,41,24/01/2008,9/12/2014,10118,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, 
EPA2014_Lake_Alexandrina_Islands,322555,6065055,41,4/08/2008,28/06/2011,4108,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, 
EPA2014_Lake_Alexandrina_Middle,333094,6077943,22,5/08/2008,9/02/2016,4529,x, , ,x,x,x,x, ,x,x, ,x,x, ,x, ,x,x,x,x,x,x,x,x,x,x, , , ,x, , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Narrung,335173,6069921,22,5/08/2008,10/11/2009,1522,x,x, ,x,x,x,x,x, , ,x,x,x,x,x,x, , , ,x, , , , , ,x,x,x, ,x, , ,x, , ,x, , ,x, ,x, 
EPA2014_Lake_Alexandrina_Off_Point_McLeay,324305,6067057,41,4/08/2008,9/12/2014,5470,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, 
EPA2014_Lake_Alexandrina_Opening,348601,6079701,41,5/08/2008,29/06/2011,4458,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, 
EPA2014_Lake_Alexandrina_Poltalloch_1A,342309,6071375,19,9/02/2011,9/02/2011,38,x, , ,x, ,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , , , , , ,x,x, 
EPA2014_Lake_Alexandrina_Tauwitcherie_Barrage_site_1,321062,6062428,19,2/06/2009,24/06/2009,76,x, , ,x, ,x,x, ,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , , , , , , , , 
EPA2014_Lake_Alexandrina_Tauwitcherie_Barrage_site_2,320804,6061452,19,24/06/2009,24/06/2009,38,x, , ,x, ,x,x, ,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , , , , , , , , 
EPA2014_Lake_Alexandrina_Tauwitcherie_Barrage_site_3,320180,6060633,19,24/06/2009,24/06/2009,38,x, , ,x, ,x,x, ,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , , , , , , , , 
EPA2014_Lake_Alexandrina_Tauwitcherie_Barrage_site_4,318998,6060842,19,24/06/2009,24/06/2009,38,x, , ,x, ,x,x, ,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , , , , , , , , 
EPA2014_Lake_Alexandrina_Top,339372,6087104,41,5/08/2008,23/08/2011,4556,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, 
EPA2014_Lake_Alexandrina_Top_A,339310,6087724,28,2/12/2010,2/12/2010,56,x, , ,x, ,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x, , , , , , , ,x,x,x,x,x, 
EPA2014_Lake_Alexandrina_Top_E,339144,6089972,28,2/12/2010,2/12/2010,56,x, , ,x, ,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x, , , , , , , ,x,x,x,x,x, 
EPA2014_Lake_Alexandrina_Top_G,339412,6086307,28,2/12/2010,2/12/2010,56,x, , ,x, ,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x, , , , , , , ,x,x,x,x,x, 
EPA2014_Lake_Alexandrina_Wellington,352803,6091052,41,5/08/2008,16/10/2014,11602,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, 
EPA2014_Lake_Alexandrina_off_Point_Sturt,326588,6071801,22,4/08/2008,10/11/2009,1756,x,x, ,x,x,x,x,x, , ,x,x,x,x,x,x, , , ,x, , , , , ,x,x,x, ,x, , ,x, , ,x, , ,x, ,x, 
EPA2014_Lake_Alexandrina_off_Rat_Island,316257,6067122,31,4/08/2008,30/07/2009,918,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x, ,x, , ,x, , ,x, , ,x, ,x, 
EPA2014_Loveday_Bay,325894,6061508,33,28/03/2012,9/12/2014,616,x,x,x,x,x,x,x,x,x,x,x, , ,x,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x, , ,x, , ,x,x,x,x,x,x,x, 
EPA2014_Loveday_Bay_LA_Nth,325895,6061643,5,18/08/2009,18/08/2009,10,x, , ,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Loveday_Bay_LA_Sth,326752,6061448,5,18/08/2009,22/07/2010,106,x, , ,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Loveday_Bay_LB1,325627,6061795,21,14/08/2009,6/02/2013,626,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Loveday_Bay_LB10,326295,6060210,6,19/01/2010,12/05/2010,46,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Loveday_Bay_LB11,327212,6060076,6,3/06/2010,3/06/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Loveday_Bay_LB12,326771,6060869,6,14/08/2009,3/06/2010,62,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Loveday_Bay_LB4,327734,6060076,5,14/08/2009,18/08/2009,20,x, , ,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Loveday_Bay_LB5,326752,6061448,16,12/05/2010,22/07/2010,66, , , , , ,x, , ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , , , , , ,x,x, 
EPA2014_Loveday_Bay_LB6,326479,6060643,9,31/08/2009,8/12/2009,86,x, , ,x,x, ,x, ,x,x, , , , , , ,x, , , ,x, , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Loveday_Bay_LB7,326006,6060979,6,31/08/2009,16/10/2009,46,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Loveday_Bay_LB8,326254,6061530,6,31/08/2009,6/02/2013,344,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Loveday_Bay_LB9,325797,6062017,6,11/11/2009,10/03/2010,84,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Meningie,349381,6050440,38,24/01/2008,9/12/2014,8968,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, ,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, 
EPA2014_Milang,316285,6079754,38,7/01/2008,16/10/2014,6828,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, ,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, 
EPA2014_Morella_Basin_North_Jack_Point,369342,6010970,11,27/02/2008,2/10/2014,454,x, , ,x,x,x,x, ,x,x, , , , , , ,x, , ,x,x, , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Murray_Mouth,305055,6062941,19,23/02/2011,23/02/2011,38,x, , ,x,x,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x, , , , , , ,x,x,x,x, ,x, 
EPA2014_Murray_Mouth_Goolwa_Beach_1,296431,6067089,19,23/02/2011,24/02/2011,46,x, , ,x,x,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x, , , , , , ,x,x,x,x, ,x, 
EPA2014_Murray_Mouth_Goolwa_Beach_2,301216,6065622,19,25/02/2011,25/02/2011,38,x, , ,x,x,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x, , , , , , ,x,x,x,x, ,x, 
EPA2014_Murray_Mouth_Goolwa_Beach_3,306808,6063288,19,25/02/2011,25/02/2011,38,x, , ,x,x,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x, , , , , , ,x,x,x,x, ,x, 
EPA2014_Murray_Mouth_S_Ocean_1,306691,6060021,19,25/02/2011,25/02/2011,38,x, , ,x,x,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x, , , , , , ,x,x,x,x, ,x, 
EPA2014_Murray_Mouth_S_Ocean_2,301996,6053749,19,25/02/2011,25/02/2011,38,x, , ,x,x,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x, , , , , , ,x,x,x,x, ,x, 
EPA2014_Murray_Mouth_S_Ocean_3,305636,6044795,19,25/02/2011,25/02/2011,38,x, , ,x,x,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x, , , , , , ,x,x,x,x, ,x, 
EPA2014_Murray_Mouth_Young_Husband_1,328910,6049466,19,4/03/2011,4/03/2011,38,x, , ,x,x,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x, , , , , , ,x,x,x,x, ,x, 
EPA2014_Murray_Mouth_Young_Husband_2,318310,6056970,19,4/03/2011,4/03/2011,38,x, , ,x,x,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x, , , , , , ,x,x,x,x, ,x, 
EPA2014_Murray_Mouth_Young_Husband_3,309965,6061817,19,4/03/2011,4/03/2011,38,x, , ,x,x,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x, , , , , , ,x,x,x,x, ,x, 
EPA2014_Narrung_Narrows,334659,6068443,4,10/09/2012,3/10/2013,40, , , , , , , , , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , , , , , , ,x, 
EPA2014_Poltalloch,338099,6074142,19,23/01/2008,20/04/2016,4021,x, , ,x,x,x,x, ,x,x, ,x,x, ,x, ,x,x, ,x, ,x,x, ,x,x, , , ,x, , , , , ,x, , , , , , 
EPA2014_River_Murray_Survey_2011,495996.494,6241657.481,8,9/07/2011,18/07/2011,75058,x, , ,x,x, ,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , , , , , , ,x, 
EPA2014_Salt_Lagoon_SL1,325883,6060247,1,3/06/2010,3/06/2010,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Salt_Lagoon_SL11,323554,6058148,6,25/08/2010,25/08/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Salt_Lagoon_SL13,323449,6058115,6,25/08/2010,25/08/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Salt_Lagoon_SL14,323364,6058115,6,25/08/2010,25/08/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Salt_Lagoon_SL15,325986,6058263,6,25/08/2010,25/08/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Salt_Lagoon_SL16,326025,6058219,6,25/08/2010,25/08/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Salt_Lagoon_SL17,325914,6058322,21,25/08/2010,25/08/2010,42,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Salt_Lagoon_SL2,325774,6060184,2,3/06/2010,3/06/2010,4, , , , , ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Salt_Lagoon_SL3,326106,6060249,1,3/06/2010,3/06/2010,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Salt_Lagoon_SL4,324117,6058653,17,1/07/2010,3/08/2010,98, , , , , ,x, , ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Salt_Lagoon_SL5,326015,6058300,8,1/07/2010,3/08/2010,48, , , , , , , , , , , , , , , , , ,x, ,x, ,x, ,x,x,x, , , , , , , , , ,x, , , ,x, , 
EPA2014_Salt_Lagoon_SL8,324329,6058554,5,21/07/2010,3/08/2010,20,x, , ,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Tauwitchere_Bogon_Island_East,319046,6061108,6,26/11/2010,16/05/2011,82,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Tauwitchere_Boundary_Creek_North,315508,6064422,21,26/11/2010,16/05/2011,130,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Tauwitchere_Long_Island_North,317456,6066229,6,26/11/2010,16/05/2011,84,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Tauwitchere_Mud_Island_1,319526,6062433,6,26/11/2010,16/05/2011,82,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Tauwitchere_Mud_Island_2,319344,6065334,21,26/11/2010,16/05/2011,266,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Tauwitchere_Mundoo_Channel_North,313346,6066293,6,26/11/2010,18/01/2011,34,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
